//GUIDE FOR TRANSLATORS
// Updated:11th of May, 2015

// 1) text with yellow background is comments and IS NOT to be translated
// 2) text with red background is ID's and IS NOT to be translated
// 3) codes inside the text MUST BE LEFT AS IS. 
// E.g. “... a second time. \n\nThe second heat-treatment...”: The '\n\n' and space around must be left as is
// 4) If there is a max character limit it will be stated in comments sections



//MATERIALS

Garbage	:		Ubrugeligt materiale
MaterialDescription_Photoresist_Soaked_Paper	: Et papirsubstrat der er blevet gennemblødt i og imprægneret med et fotoresistent materiale.

Lithographed_Paper : Mønstret papir
MaterialDescription_Lithographed_paper	: Et papirsubstrat som har gennemgået en litografisk proces og dermed har fået et mønster.

Tbpb :TBPB
MaterialDescription_tbpb	: TBPB, også kaldet tetrabromfenol blåt, bruges som pH-indikator og farvemarkør. Det kan opdage proteiner og afsløre dem ved sine farver.

Iodide : Jodid
MaterialDescription_iodide	: Jodid (I-) er en ion der kan bruges til at opdage glukose.

Cursed_Monkey_Paw:	Abehånd
MaterialDescription_Cursed_Monkey_Paw: Den blev først fundet i en antikvitetsforretning i et lille stræde i London. Denne hånd kom fra en makakabe ved navn Steve.\n\nHåndens ejer får tre ønsker opfyldt.

Iron_Mix: Jernblanding
MaterialDescription_Iron_Mix : En blanding af jernoxid og kul.

Impure_Molten_Iron:	Urent flydende jern
MaterialDescription_Impure_Molten_Iron:	Flydende jern med mange urenheder i det, hvilket gør det ubrugeligt.

Battery_Anode	:	Batteri-anode
MaterialDescription_Battery_Anode	: Sammenpresset grafit som fungerer som batteriets anode­elektrode. En elektrode er en elektrisk leder der bruges som kontakt med den ikke-metalliske del af kredsløbet.\n\nEn anode er den elektrode hvor elektronerne kommer ud af cellen.

Battery_Cathode	:	Batteri-katode
MaterialDescription_Battery_Cathode	: Sammenpresset grafit som fungerer som batteriets katode­­elektrode. En elektrode er en elektrisk leder der bruges som kontakt med den ikke-metalliske del af kredsløbet.\n\nEn katode er den elektrode hvor elektronerne kommer ind i cellen.

Coated_Anode	:	Belagt anode
MaterialDescription_Coated_Anode	: Anoden har fået en belægning for at opnå en bedre elektrisk lede­evne.

Coated_Cathode	:	Belagt katode
MaterialDescription_Coated_Cathode	: Katoden har fået en belægning for at give materialet en bedre elektrisk lede­evne.

Lithium_Cobalt_Oxide	:	Litium-koboltoxid
MaterialDescription_Lithium_Cobalt_Oxide	:	Litium-koboltoxid er en kemisk forbindelse der ofte bruges som katodemateriale til batterier.\n\nPga. kobolts giftighed har det den store ulempe at det er svært at bortskaffe.

Graphite	:	Grafit
MaterialDescription_Graphite	:	Grafit er den mest stabile form for kulstof under normale forhold, og det har en god energitæthed.\n\nDet er almindeligt brugt som elektrodemateriale til fremstilling af batterier.

Dry_Anode	:	Tør anode
MaterialDescription_Dry_Anode	:	Varmetørret anode.

Dry_Cathode	:	Tør katode
MaterialDescription_Dry_Cathode	:	Varmetørret katode.

Stacked_Anode_Cathode	:	Stablet anode/katode
MaterialDescription_Stacked_Anode_Cathode	:	Stablede anoder og katoder med en separator mellem dem.

Electrolyte_Filling	:	Elektrolyt fyld
MaterialDescription_Electrolyte_Filling	:	 En elektrolyt er det middel der kan få elektriske ladninger til at strømme mellem to elektroder.

Lithium_Salts	:	Litium-salte
MaterialDescription_Lithium_Salts	:	Litium-salte er kemiske salte af litium der ofte bruges som et humørstabiliserende medikament.\n\nAndre steder bruges det som elektrolytmateriale for at omdanne kemisk energi til elektrisk energi.\n\nLitium reagerer meget eksplosivt med vand. 

Manganese_Dioxide	: Mangandioxid
MaterialDescription_Manganese_Dioxide	:	Mangandioxid er en kemisk forbindelse der har en tendens til at optage elektroner inde i batterier.\n\nDet bruges også som pigment til keramik og glasfremstilling.

Organic_Solvent	:	Organisk opløsningsmiddel
MaterialDescription_Organic_Solvent	:	Et organisk opløsningsmiddel (hvori andre materialer kan opløses) kan bruges som en komponent i elektrolytter.\n\nDet her er en blanding af ethylkarbonat og dimethylkarbonat.

Polymer_Ceramic_Composite	: Polymer keramisk komposit
MaterialDescription_Polymer_Ceramic_Composite	:	En separator der består af en polymer og et keramisk pulver. Det keramiske pulvers egenskaber gør at det kan modstå temperaturer helt op til 2000 °C.\n\nDet bruges ofte til at adskille elektroder i store batterier.

Synthetic_Polymer_Film	:	Syntetisk polymerfilm
MaterialDescription_Synthetic_Polymer_Film	:	En separator der forhindrer elektroder i at røre hinanden, mens det samtidigt lader elektriske ladninger flyde frit imellem dem.

Lithium_Iron_Phosphate	:	Litium-jernfosfat
MaterialDescription_Lithium_Iron_Phosphate	: Litium-jernfosfat bruges ofte som katodemateriale fordi det kan modstå høje temperaturer, samtidigt med at det har en høj strømdensitet og holder i lang tid.\n\nMen det har en lav elektrisk ledeevne.

Carbon	: Carbon
MaterialDescription_Carbon	:	Kulstof er et grundstof med symbolet C. Det er stabilt i forskellige atomare strukturer kaldet allotrope former.\n\nBlandt disse allotrope former er kostbare diamanter og det mindre kostbare grafit.\n\nKulstof kan bruges sammen med andre materialer til at forøge den elektriske ledeevne. 

Lithographed_Substrate	:	 Aluminiumoxid-substrat m. metalkontakter
MaterialDescription_Lithographed_Substrate	: Substrat med platinelektroder. De øverste elektroder bruges til elektriske målinger, mens de nederste er til opvarmning af anordningen.

Substrate_W_Electrode_Layers	:	Litograferet metallag
MaterialDescription_Substrate_W_Electrode_Layers	:	Aluminiumoxid-substrat med et mønster litograferet på det.

Etched_Substrate	:	Graveret substrat
MaterialDescription_Etched_Substrate	:	Det viste mønster af metalkontakter bruges til elektriske målinger.

Tin_Oxide	:	Tinoxid
MaterialDescription_Tin_Oxide	:	Tinoxids smeltepunkt er 1080 °C, og det er en halvlederoxid som forekommer naturligt i mineraler.\n\nDet bruges ofte som elektrode i ovne til smeltning af glas og i gasdetektorer for at registrere kulilte.

Metal_Oxide_Gas_Sensor	:	Metaloxid-gassensor
MaterialDescription_Metal_Oxide_Gas_Sensor	:	Det her er en sensor som registrerer gaskoncentrationer, fx af kulilte.\n\nDen kan bruges i industriøjemed til at advare arbejdere om farlige niveauer af gasarter.

Polyimide	:	Polyimid
MaterialDescription_Polyimide	: Polyimid er en polymer med et relativt højt smeltepunkt på 400 °C. Det bruges ofte som termisk isolering og dielektrisk materiale.

Lithographed_Polyimide	:	Polyimid m. metalkontakter
MaterialDescription_Lithographed_Polyimide	:	Substrat med de nødvendige metalkontakter til antennefunktion.

Substrate_W_Metal_Contacts	:	Litograferet metallag 
MaterialDescription_Substrate_W_Metal_Contacts	: Metallag med et mønster litograferet på det.

Wifi_Antenna	:	WiFi-antenne
MaterialDescription_Wifi_Antenna	: En WiFi-antenne er en anordning som kan transmittere eller modtage elektromagnetiske signaler trådløst.\n\nTo apparater udstyret med antenner kan kommunikere med hinanden.

Glue	:	Lim
MaterialDescription_Glue	:	En forbindelse der bruges til at lime to materialer sammen.\n\nDet beskrives ofte som klistret.

Sticky_Paper_Substrate	:	Klisterpapir-substrat
MaterialDescription_Sticky_Paper_Substrate	:	Det er et klistret stykke papir.
	
Zinc	:	Zink
MaterialDescription_Zinc	:	Zink (Zn) er et grundstof der er biologisk vigtigt. Zinkmangel er forbundet med mange sygdomme.\n\nI industriøjemed er det zinkens evne til at oxidere der gør den effektiv som en offer-elektrode i fremstillingen af batterier.

Pcbm	:	PCBM
MaterialDescription_Pcbm	:	Det kaldes også fulleren, og det bruges som en n-type halvleder i solceller.\n\nDet er et materiale som optager elektroner i en reduktionsproces.

P3ht	:	P3HT
MaterialDescription_P3ht	:	En elektrondonor som bliver ledende når elektroner fjernes. Den bruges ofte som p-type halvleder i solceller.

Pcbm_P3ht	:	PCBM:P3HT
MaterialDescription_Pcbm_P3ht	:	En blanding der fungerer som organisk pn-overgang.

Zinc_Printed_Substrate	:	Zink-trykt substrat
MaterialDescription_Zinc_Printed_Substrate	:	Papir-substrat med påtrykt zink øverst.

Oxidated_Zinc_Substrate	:	Oxideret zink-substrat
MaterialDescription_Oxidated_Zinc_Substrate	:	Papir-substrat med påtrykt zinklag øverst. Pga. oxideringen er der yderligere et lag zinkoxid (ZnO) ovenpå.

Pcbm_P3ht_Printed_Substrate	:	PCBM:P3HT påtrykt substrat
MaterialDescription_Pcbm_P3ht_Printed_Substrate	:	Et substrat med PCBM:P3HT pn-overgang trykt ovenpå, som muliggør strømmen af elektroner.

Pedot_Pss	:	PEDOT:PSS
MaterialDescription_Pedot_Pss	:	En ikke-giftig polymer-blanding som er kompatibel med menneskeligt væv. Det forbedrer solcellers energieffektivitet.\n\nDet har ledende egenskaber og kan bruges som elektrodemateriale.

Gnome	:	Nisse
MaterialDescription_Gnome	:	Det som forstadshavefolk drømmer om og af og til har mareridt om. Havenissen i sin nuværende skikkelse, kom først frem i det 18. århundred i Centraleuropa.\n\nNogle mennesker siger at de gerne kryber hen til smukke kvinder sent om natten og at de kan lide at rulle støv sammen til små kugler og efterlade dem i hjørnerne.

Magnesium	:	Magnesium
MaterialDescription_Magnesium	: Magnesium (Mg) er et alkalisk jordmetal som er opløseligt i vand, er biokompatibelt og er naturligt forekommende i menneskekroppen.\n\nDet har bedre ledeevne end ledende polymerer, og det bruges ofte til midlertidigt elektronik som elektrodemateriale.

Molybdenum	:	Molybdæn
MaterialDescription_Molybdenum	:	Molybdæn (Mo) er et sølvskinnende metal som forekommer i mange mineraler. Det har et meget højt smeltepunkt på 2622 °C.\n\nDets varmemodstand gør det bl.a. til en god elektrode i smelteovne og flyudstyr.

Metal_Foils	:	Metalfolier
MaterialDescription_Metal_Foils	:	Parvise elektroder med et enkelt stykke folie af magnesium og molybdæn i hver ende.

Molybdenum_Paste	:	Molybdænmasse
MaterialDescription_Molybdenum_Paste	:	En dejagtig masse hovedsageligt bestående af molybdændisulfid, en forbindelse af molybdæn og svovl. Det er et middel som kan tåle højt tryk, høje temperaturer, der modvirker slid, og som bruges som smøremiddel ved kontakt mellem dele.\n\nMolybdændisulfidens lagdelte struktur og halvlederegenskaber gør det også meget brugbart inden for elektronikindustrien.

Connected_Metal_Foils	:	Forbundne metalfolier
MaterialDescription_Connected_Metal_Foils	:	Metalfolier forbundet med molybdænmasse.

Semi_Packaged_Foils	:	Halvpakkede folier
MaterialDescription_Semi_Packaged_Foils	:	Folier pakket i en film af polyanhydrid.

Polyanhydrides	:	Film af polyanhydrid
MaterialDescription_Polyanhydrides	:	Film af polyanhydrid er en biologisk nedbrydelig polymer.\n\nProdukter fra den biologiske nedbrydning er ikke-giftige hvilket betyder at det er risikofrit at indføre det en menneskekrop, og dermed fører det til mange anvendelser inden for den farmaceutiske industri.

Phosphate_Buffer_Saline	:	Fosfat-buffer-saltopløsning
MaterialDescription_Phosphate_Buffer_Saline	:	En vandbaseret saltopløsning der indeholder natriumfosfat og natriumchlorid. Det er en såkaldt buffer-opløsning der bruges til at forhindre ændringer i pH-værdien i en opløsning, samtidigt med at det også fungerer som elektrolyt.

Filled_Transient_Battery	:	Fyldt midlertidigt batteri
MaterialDescription_Filled_Transient_Battery	:	Et midlertidigt batteri fyldt med fosfatbuffer-saltopløsning der fungerer som elektrolyt.

Pn_Junction_W_Antireflective_Coating	:	PN-overgang m. anti-reflekterende belægning
MaterialDescription_Pn_Junction_W_Antireflective_Coating	:	En pn-overgang med en belægning der reducerer skæret fra sollys for at kunne absorbere det og omdanne det til elektrisk energi.

Pn_Junction_W_Electrodes	:	PN-overgang m. elektroder
MaterialDescription_Pn_Junction_W_Electrodes	:	pn-overgang med elektroder der indsamler den elektriske ladning produceret af sollyset.\n\nElektroderne er ordnet i et gitter som lader lyset passere igennem det, så lyset kan høstes.

Zinc_Oxide	:	Zinkoxid
MaterialDescription_Zinc_Oxide	:	Zinkoxid (ZnO) er en n-type halvleder med gode optiske og elektriske egenskaber.

Conductive_Glass_Substrate	:	Ledende glassubstrat
MaterialDescription_Conductive_Glass_Substrate	:	Et glassubstrat med en belægning af ledende oxid.

Glass_Substrate_W_Pn_Junction	:	Glassubstrat m. pn-overgang
MaterialDescription_Glass_Substrate_W_Pn_Junction	:	Et glassubstrat med en fuldstændig pn-overgang afsat på det.\n\nDen pn-overgang der bruges in tynd-films-solceller er meget tyndere end i almindelige solceller, bare et par nanometer tyk.

Solar_Cell_W_Top_Electrode	:	Solcelle m. top-elektroder
MaterialDescription_Solar_Cell_W_Top_Electrode	:	Solcelle med elektroder til at lede den elektriske strøm.

Energy_Efficient_Solar_Cell	:	Energi-effektiv solcelle
MaterialDescription_Energy_Efficient_Solar_Cell	:	Organiske solceller er lette at bygge, men de er mindre effektive end almindelige solceller på trods af den forbedring i effektivitet den følger med PEDOT:PSS-lag. 

Glass_W_Organic_Pn_Junction	:	Glas m. organisk pn-overgang
MaterialDescription_Glass_W_Organic_Pn_Junction	:	Glas med organisk pn-overgang i stedet for en lavet af uorganiske materialer (fx silicium).

Organic_Solar_Cell_W_Electrodes	:	Organisk solcelle m. elektroder
MaterialDescription_Organic_Solar_Cell_W_Electrodes	:	Solcelle med elektroder til at lede den elektriske strøm.

Acetylene	:	Acetylen
MaterialDescription_Acetylene	: Acetylen er en kulbrinte, dvs. en kemisk forbindelse bestående af kulstof og brint.\n\nDen bruges i vid udstrækning som brændstof og kemiske byggesten.

Assembled_Reactor	:	Samlet reaktor
MaterialDescription_Assembled_Reactor	:	En naturligt lys-reaktor som kan absorbere sollys for at starte fotoreduktionen.

Atmospheric_Air	:	Atmosfærisk luft
MaterialDescription_Atmospheric_Air	:	Den luft som vi indånder. Den består ca. af 78 % nitrogen, 20,95 % ilt, 0,93 % argon og 0,039 % kuldioxid.

Bubble_Generator	: Boble-generator
MaterialDescription_Bubble_Generator	:	En boble-generator der indfører luftarter, i form af bobler, ind i en væske. Luftboblerne hjælper reaktionen med at ske ved højere hastighed.\n\nHvis du har et akvarium, vil fiskene sikkert gerne have dette apparat.

Cooled_Cvd	:	CVD m. Kulstof­nanorør
MaterialDescription_Cooled_Cvd	: Afkølede nanorør inde i et redskab til kemisk dampaflejring.

Cooled_Cvd_2	:	Afkøling
MaterialDescription_Cooled_Cvd_2	:	Nanorør der er afkølede og gjort funktionsdygtige inde i et redskab til kemisk dampaflejring.

Cvd_W_Catalyst	:	CVD m. katalysator
MaterialDescription_Cvd_W_Catalyst	: Et redskab til kemisk dampaflejring (CVD) hvori der er placeret jernpulver (en katalysator) på aluminium-substratet. 

Cvd_W_Transport_Gas	:	CVD m. transportluftart
MaterialDescription_Cvd_W_Transport_Gas	: En transportluftart forhindrer uønskede kemiske reaktioner mellem ilt og fugt, der ellers kunne være eksplosive.

Functionalised_Cnt	:	Kulstof­nanorør der er gjort funktionsdygtige
MaterialDescription_Functionalised_Cnt	: Kulstof­nanorør der er gjort funktionsdygtige, dvs. at deres overflade er blevet permanent modificeret.\n\nDet kan forbedre de kemiske reaktioner og bindinger.

Glass_Jar	:	Glaskrukke
MaterialDescription_Glass_Jar	: En krukke lavet af glas. De kan indeholde marmelade og/eller syltede frugter af forskellig slags eller endog en slags nøddechokoladesmør.\n\nDen her er tom.

Glass_Tube_Reactor	:	Glasrørsreaktor
MaterialDescription_Glass_Tube_Reactor	: Glasrør som er imprægneret med en fotokatalysator hvilket gør det muligt for dem at reagere med CO2 når de udsættes for lys.

Glass_Tubes	:	Glasrør
MaterialDescription_Glass_Tubes	: Rør lavet af glas som kan bruges på mange forskellige måder.

Optical_Fibres	:	Optiske fibre
MaterialDescription_Optical_Fibres	: Optisk fiber er et fleksibelt, gennemsigtigt fiber bestående af silicium eller plastic.  Det transmitterer lys og bruges ofte til transmission af informationer inden for telekommunikation.

Impregnated_Cnt	:	Komposit syntese
MaterialDescription_Impregnated_Cnt	: Kulstof­nanorør imprægneret med et polymermiddel og presset sammen til plader, hvilket gør dem meget stærkere end almindelige kulstof­nanorør.

Jar_Lamp_Container	:	Krukkelampebeholder
MaterialDescription_Jar_Lamp_Container	: En krukke der er blevet fyldt med vand og tilsluttet en boblegenerator.

Jar_Lamp_W_Catalyst	:	Krukkelampe m. katalysator
MaterialDescription_Jar_Lamp_W_Catalyst	: En krukkelampe med en fotokatalysator som reagerer med CO2 og dermed delvist fjerner det fra luften.

Nitrogen 	:	Nitrogen
MaterialDescription_Nitrogen	: Kvælstof el. nitrogen (N) er en lugtfri, farveløs, inaktiv luftart der ofte bruges til at undgå kemiske reaktioner med ilt og fugt.\n\nDet er det mest forekommende og rene grundstof. Jordens atmosfære består af 78 % kvælstof.

Optical_Fibre_Complex	:	Kompleks af optiske fibre
MaterialDescription_Optical_Fibre_Complex	: Optiske fibre der er sænket ned i en fotokatalysator. Det gør fibrene i stand til at reagere med CO2 når de udsættes for ultraviolet lys.
	
Oxygen	:	Ilt
MaterialDescription_Oxygen	: Ilt eller oxygen (O) er et kraftigt reagerende grundstof som danner kemiske forbindelser med de fleste andre grundstoffer.\n\nDet er en farveløs og lugtfri luftart som udgør en vigtig del af atmosfæren. Vi indånder det så vi kan eksistere her på Jorden.

Oxygen_Synthesis_Of_Cnts	:	Aktivering af CNT'er
MaterialDescription_Oxygen_Synthesis_Of_Cnts	: Kulstof­nanorør der er syntetiseret vha. ilt.\n\nSyntetisering betyder at fremstille noget kunstigt.
	
Epoxy_Resin	:	Epoxyresin
MaterialDescription_Epoxy_Resin	: Polymerer eller plastic er elektriske og termiske isolatorer med lav styrke og hårdhed.\n\nDe bruges til alt muligt, lige fra kabler til tøj.

Photoconcentrator_Panel	:	Foto-koncentratorpanel
MaterialDescription_Photoconcentrator_Panel	: Et panel der bruger linser og buede spejle til at koncentrere sollyset på en lille, men effektiv multi-overgangssolcelle.

Polymer_Solution	:	Polymeropløsning
MaterialDescription_Polymer_Solution	: En polymeropløsning der er hærdet. Den indeholder også en katalysator til at accelerere produktionen af CNT/polymerkompositter.

Stabilised_Photocatalyst	:	Stabiliseret fotokatalysator
MaterialDescription_Stabilised_Photocatalyst	: En fotokatalysator i en gel-agtig opløsning i en beholder.

Synthesis_Of_Cnts	:	Syntetisering af CNT'er
MaterialDescription_Synthesis_Of_Cnts	: Syntetisering er den proces hvor noget fremstilles kunstigt.

Tubed_Fibre_Complex	:	Kompleks af rør-fibre
MaterialDescription_Tubed_Fibre_Complex	: Optiske fibre i en glaskrukke som har en indgang til atmosfærisk luft (højt indhold af CO2) og en udgang til luft med lav koncentration af CO2.

Uv_Lamp	:	Uv-lampe
MaterialDescription_Uv_Lamp	: Ultraviolet lys findes i sollys, og dets bølgelængde er meget kortere end synligt lys.\n\nDet er de ultraviolette stråler som forårsager solskoldning, accelererer aldring og som kan forårsage hudkræft. Fra et positivt synspunkt hjælper det med produktionen af D-vitamin i huden.

Iron_Powder	:	Jernpulver
MaterialDescription_Iron_Powder	: Pulverformen af overgangsmetallet jern (Fe) som kan fungere som katalysator.\n\nEn katalysator er et materiale som kan accelerere en kemisk proces uden selv at blive påvirket af processen.

Hardener	:	MTHPA
MaterialDescription_Hardener	:	Methyl-tetrahydroftalisk anhydrid er en kemisk forbindelse som reagerer med polymerer og forbedrer deres styrke og hårdhed.

Catalyst	:	1- Methylimidazol
MaterialDescription_Catalyst	: En kemisk forbindelse der bruges som katalysator, fx til at accelerere kemiske reaktioner.

Y_Zeolite	:	Y-Zeolit
MaterialDescription_Y_Zeolite	: Zeolitter er mineraler der normalt bruges som kommercielle adsorbenter og katalysatorer. Strukturen i deres porer og justerbare surhedsgrad gør dem meget reaktive i mange forskellige situationer.

Ruthenium	: Ruthenium
MaterialDescription_Ruthenium	: Ruthenium (Ru) er et skinnende, sølvagtigt metal som bruges i elektronikindustrien til chipmodstande.\n\nPga. dets evne til at absorbere lys i det synlige spektrum, bruges det meget i den kemiske industri som katalysator samt til solceller.

Nickelplated_Steelcan	:	Nikkelpletteret ståldåse
MaterialDescription_Nickelplated_Steelcan	: En stålbeholder pletteret med nikkel (Ni) på indersiden.

Zinc_Powder	:	Zinkpulver
MaterialDescription_Zinc_Powder	:	Zinks (Zn)evne til at tiltrække ilt (dvs. at oxidere) gør det effektiv i fremstillingen af batterier.

Cathode_Electrolyte_Mix	: Katode-elektrolyt-blanding
MaterialDescription_Cathode_Electrolyte_Mix	:	En katode i en elektrolyt-blanding. 
Anode_Electrolyte_Mix	:	Anode-elektrolyt-blanding
MaterialDescription_Anode_Electrolyte_Mix	:	En anode i en elektrolyt-blanding.
Cathode_In_A_Container	:	Katode i en beholder
MaterialDescription_Cathode_In_A_Container	:	Katode i en nikkelpletteret stålbeholder.

Steel_Can_W_Membrane	:	Ståldåse m. membran
MaterialDescription_Steel_Can_W_Membrane	: Membranen adskiller anoden og katoden, men den skal gennemvædes i en elektrolytblanding for at kunne have en fri strøm af ioner.

Chlorine	:	Klor
MaterialDescription_Chlorine	: Klor (Cl) er et grundstof som ofte bruges til desinfektion af vand, til at dræbe bakterier, vira og andre mikrober. Vandet i svømmebassiner indeholder ofte klor med dette formål.\n\nDesuden bruges det til afblegning af materialer. 

Pretreated_Water	:	Første forbehandling
MaterialDescription_Pretreated_Water	: Vand som indeholder klor for at undgå biologisk forurening; kornet forurening, fx småsten og sand, skal fjernes.

Dechlorinated_Water	:	Vand med klor fjernet
MaterialDescription_Dechlorinated_Water	: Vand uden klor.

Finely_Filtrated_Water	:	Finfiltreret vand
MaterialDescription_Finely_Filtrated_Water	:	Vand som har gennemgået flere filtreringstrin som har fjernet selv de mindste sandkorn.

High_Pressure_Water	:	Højtryksvand
MaterialDescription_High_Pressure_Water	:	Dette vand er under højtryk, og det vil skyde ud med enorm hastighed hvis det frigives.

Reverse_Osmosis	:	Omvendt osmose
MaterialDescription_Reverse_Osmosis	:	 Omvendt osmose bruger halvgennemtrængelige membraner (enten polymere membraner eller en grafenmembran) til at destillere vandet med.

Graphene	:	Grafen
MaterialDescription_Graphene	:	Grafen er et materiale der består af kulstofatomer ordnet i et meget tyndt, næsten gennemsigtigt lag, et atom tykt. Det kan bruges sammen med en halvgennemtrængelige membran til behandling af vand.\n\nDet kan bøjes, besidder mange interessante elektroniske egenskaber, og det anvendes i fly-, automobil- og elektronikindustrien.

Calcium_Carbonate	:	Calciumcarbonat
MaterialDescription_Calcium_Carbonate	:	Calciumcarbonat findes normalt i bjergarter og bruges ofte til at justere pH-værdien til et neutralt niveau, fx til at neutralisere sure eller basiske blandinger.\n\nDet bruges i stor udstrækning lige fra den petrokemiske industri til medicin.

Salt_Water_In_Container	:	Saltvand i en beholder
MaterialDescription_Salt_Water_In_Container	:	Hvis du drikker dette saltvand, bliver du bare mere tørstig.

Feed_Flow_Pump	:	Indstrømningspumpe
MaterialDescription_Feed_Flow_Pump	:	En pumpe der bruges til at pumpe vand med. Den kan anvendes til mange ting, fx at pumpe vand ind i en dam eller at pumpe vand ind i et akvarium eller at pumpe vand ind i en beholder.\n\nDen kan også pumpe vand.

Aqua_Porin	:	Membran dækket med aquaporin
MaterialDescription_Aqua_Porin	: Aquaporiner er vandkanal-proteiner der findes i næsten alt levende, lige fra bakterier til planter og mennesker, og de muliggør hurtig transport af vand gennem cellemembranerne.\n\Afhængigt af porestørrelsen kan disse membraner tillade at kun vandmolekyler trænger igennem.

Water_Flow	:	Vandstrøm
MaterialDescription_Water_Flow	:	Saltvand med tilhørende pumpe.

Fo_Cell_W_Aquaporin	:	FO celle m. aquaporiner
MaterialDescription_Fo_Cell_W_Aquaporin	:	Celle til fremadrettet osmose (FO) dækket med aquaporiner. Aquaporinerne renser vandet ved kun at tillade vandmolekyler at trænge igennem FO-cellen.

Forward_Osmosis	:	Fremadrettet osmose
MaterialDescription_Forward_Osmosis	: Halvdelen af en fremadrettet osmose-proces.\n\nResten af osmose-processen kræver en koncentreret opløsning til at inducere en vandstrøm gennem aquaporin-membranen.

Nylon_Pipes	:	Nylonrør
MaterialDescription_Nylon_Pipes	:	Rør fremstillet af nylon, en syntetisk polymer i mange former og størrelser.\n\nDe bruges til at overføre væsker fra et sted til et andet.

Syrup	:	Sirup
MaterialDescription_Syrup	: Sirup er sukker opløst i vand. Det kan bruges på mange måder i den kulinariske verden, og hvis det varmes op bliver det til karamel. NAM!

Syrup_In_Container	:	Sirup i en beholder
MaterialDescription_Syrup_In_Container	:	Sukkervand efterlader et klistret rod hvis det ikke styres.

Stealth_Liposomes	:	Stealth-liposomer
MaterialDescription_Stealth_Liposomes	: Liposomer som kan passere uopdaget af patientens immunsystem for at nå frem til det område hvor medikamentet skal leveres.

Phospholipids	:	Fosforlipider
MaterialDescription_Phospholipids	: Et fosforlipid er en af de vigtigste dele af en cellemembran i alt levende.\n\nFosforlipiderne er molekyler sammensat af to dele: et hydrofilt hoved (kan lide vand) og en hydrofobisk hale (kan ikke lide vand). Når fosforlipider sættes i vand, har hovedet en tendens til at være eksponeret for vandet, mens halen gemmer sig fra det. På denne måde forbinder de sig med hinanden og danner liposomer.

Peg_Phospholipids	:	PEG-fosforlipider
MaterialDescription_Peg_Phospholipids	: PEG er et materiale (polymer) som, når det vedhæftes til liposomer, gør dem ”usynlige” for det menneskelige immunsystem, dermed kan de undgå at blive afvist af kroppen.

Drug_Delivery_Solution	:	Medikament/liposom-opløsning
MaterialDescription_Drug_Delivery_Solution	:	En flydende opløsning med et medikament som kan injiceres i en patient.

Medicine	:	Medicin
MaterialDescription_Medicine	:	Medikamenter som kan helbrede sygdomme eller som i det mindste kan hjælpe i den retning.

Syringe	:	Sprøjte
MaterialDescription_Syringe	:	En sprøjte er en simpel pumpe som består af et stempel inde i et rør med en tilsluttet kanyle.\n\nDen bruges til at injicere væsker ind i hulrum eller til andre flydende komponenter.

Smart_Delivery_Solution	:	Smart leveringsopløsning
MaterialDescription_Smart_Delivery_Solution	:	Intelligente liposomer der bevæger sig gennem kroppen uden at blive opdaget af immunsystemet. De markerer og retter sig mod konkrete steder i kroppen der har brug for behandling med et medikament.

Marker_Phospholipids	:	Markør-fotolipider
MaterialDescription_Marker_Phospholipids	:	Molekyler som opdager placeringen af et medikament inde i kroppen.\n\nDet kan fx være en radioaktiv gruppe eller en fluorescerende gruppe som er hæftet til fotolipidet.

Target_Phospholipids	:	Mål-fotolipider
MaterialDescription_Target_Phospholipids	: En målretningsgruppe som kan sigte mod et konkret væv i menneskekroppen.\n\nAfhængigt af vævet kan målretningsgruppen være alt lige fra antistoffer til kulhydrater. Dette gør mål-fotolipiderne rigtige gode til at finde det væv som har brug for medicinsk behandling.

Targeted_Drug_Delivery_Solution	:	Målrettet medikament-leveringsopløsning
MaterialDescription_Targeted_Drug_Delivery_Solution	:	Et flydende medikament som kan injiceres i en patient.

Nanorobot_Sensors	:	Nanorobotbeholder
MaterialDescription_Nanorobot_Sensors	:	De sensorer som opdager sygdomme og navigerer nanorobotten (som er lukket inde i en PEG-beholder) gennem menneskekroppen.

Navigation_Molecules	:	Navigeringssensorer
MaterialDescription_Navigation_Molecules	: Navigeringssensorer er sensorer der bruges til at hjælpe med bevægelsen inde i kroppen.

Detection_Molecules	:	Detektionsensorer
MaterialDescription_Detection_Molecules	:	Detektionsensorer er kemiske sensorer som ”opfatter” en sygdom inde i kroppen.

Pill_Container	:	PEG-beholder
MaterialDescription_Pill_Container	:	En mikroskopisk beholder lavet af PEG-polymer. Den får de genstande den indeholder til at virke ”usynlige” for kroppen så de ikke bliver afvist af den.

Propeller	:	Propeller
MaterialDescription_Propeller	: Meget små propeller som driver små maskiner fremad.

Movement_Robotics	:	Bevægelsesrobotik
MaterialDescription_Movement_Robotics	: Maskinen i en nanorobot som opbevarer elektrisk energi og som også er i stand til at bevæge den igennem kroppens blodbaner.

Nanorobot_Computer	:	Nanorobot-computer
